sample_index,time_s,voltage_mV
1097,2.194,3.3
1098,2.196,3.3
1099,2.198,3.3
1100,2.2,3.28952
1101,2.202,3.25407
1102,2.204,3.24037
1103,2.206,3.15172
1104,2.208,3.03165
1105,2.21,2.91802
1106,2.212,2.78103
1107,2.214,2.66498
1108,2.216,2.5707
1109,2.218,2.46432
1110,2.22,2.38454
1111,2.222,2.27172
1112,2.224,2.15729
1113,2.226,2.08637
1114,2.228,2.04527
1115,2.23,1.98161
1116,2.232,1.90667
1117,2.234,1.83656
1118,2.236,1.81641
1119,2.238,1.79788
1120,2.24,1.76967
1121,2.242,1.76967
1122,2.244,1.74952
1123,2.246,1.72132
1124,2.248,1.66733
1125,2.25,1.63831
1126,2.252,1.61736
1127,2.254,1.63267
1128,2.256,1.62784
1129,2.258,1.64799
1130,2.26,1.68908
1131,2.262,1.71407
1132,2.264,1.7874
1133,2.266,1.85106
1134,2.268,1.90989
1135,2.27,1.9526
1136,2.272,1.99773
1137,2.274,2.05253
1138,2.276,2.09282
1139,2.278,2.1315
1140,2.28,2.17744
1141,2.282,2.20645
1142,2.284,2.23465
1143,2.286,2.27092
1144,2.288,2.32249
1145,2.29,2.38938
1146,2.292,2.43128
1147,2.294,2.45707
1148,2.296,2.46755
1149,2.298,2.47319
1150,2.3,2.46432
1151,2.302,2.47077
1152,2.304,2.47722
1153,2.306,2.48286
1154,2.308,2.48205
1155,2.31,2.49011
1156,2.312,2.49011
1157,2.314,2.50059
1158,2.316,2.48608
1159,2.318,2.4893
1160,2.32,2.48286
1161,2.322,2.47963
1162,2.324,2.49253
1163,2.326,2.49333
1164,2.328,2.48447
1165,2.33,2.47722
1166,2.332,2.47883
1167,2.334,2.4748
1168,2.336,2.48366
1169,2.338,2.49333
1170,2.34,2.49172
1171,2.342,2.48608
1172,2.344,2.47319
1173,2.346,2.48205
1174,2.348,2.48125
1175,2.35,2.49656
1176,2.352,2.49253
1177,2.354,2.49736
1178,2.356,2.48447
1179,2.358,2.50059
1180,2.36,2.48366
1181,2.362,2.49172
1182,2.364,2.4885
1183,2.366,2.48769
1184,2.368,2.49253
1185,2.37,2.50139
1186,2.372,2.49092
1187,2.374,2.48689
1188,2.376,2.46835
1189,2.378,2.47238
1190,2.38,2.47077
1191,2.382,2.47641
1192,2.384,2.46755
1193,2.386,2.47158
1194,2.388,2.49253
1195,2.39,2.49253
1196,2.392,2.49253
1197,2.394,2.5022
1198,2.396,2.50542
1199,2.398,2.50945
1200,2.4,2.51348
1201,2.402,2.51187
1202,2.404,2.50703
1203,2.406,2.52557
1204,2.408,2.53846
1205,2.41,2.52879
1206,2.412,2.5159
1207,2.414,2.51751
1208,2.416,2.5159
1209,2.418,2.50703
1210,2.42,2.51106
1211,2.422,2.52234
1212,2.424,2.51267
1213,2.426,2.52154
1214,2.428,2.51832
1215,2.43,2.5159
1216,2.432,2.52799
1217,2.434,2.52396
1218,2.436,2.52879
1219,2.438,2.5304
1220,2.44,2.52234
1221,2.442,2.53201
1222,2.444,2.53524
1223,2.446,2.53282
1224,2.448,2.5433
1225,2.45,2.53685
1226,2.452,2.52637
1227,2.454,2.54974
1228,2.456,2.53524
1229,2.458,2.53443
1230,2.46,2.53604
1231,2.462,2.53927
1232,2.464,2.52476
1233,2.466,2.51912
1234,2.468,2.52476
